,Recency,Recency,Recency,Frequency,Frequency,Monetary,Monetary,Monetary
,mean,std,count,mean,std,mean,std,sum
Cluster,,,,,,,,
0,308.24,3.71,45,1.0,0.0,276.01,149.79,12420.58
1,186.16,11.67,104,1.0,0.0,236.44,127.2,24590.27
2,215.39,3.03,38,1.0,0.0,274.4,212.86,10427.12
3,20.32,12.71,315,2.0,0.0,513.61,262.11,161787.24
4,274.71,9.97,128,1.0,0.0,248.5,143.34,31808.37
5,13.33,8.05,129,4.0,0.0,976.57,347.94,125976.98
6,46.59,25.87,619,1.0,0.0,297.54,178.71,184179.44
7,82.67,2.84,12,2.0,0.0,813.62,118.31,9763.49
8,321.51,3.28,35,1.0,0.0,221.33,125.98,7746.4
9,19.53,10.67,187,3.0,0.0,790.02,319.88,147733.43
10,366.04,6.31,107,1.0,0.0,232.25,126.43,24851.24
11,244.18,7.44,94,1.0,0.0,246.28,136.04,23150.04
12,155.88,2.57,17,2.0,0.0,391.62,164.89,6657.57
13,59.61,6.37,89,2.0,0.0,556.43,255.92,49522.62
14,93.53,2.09,19,2.0,0.0,743.14,180.43,14119.57
15,19.0,1.9,6,2.0,0.0,1248.02,68.93,7488.12
16,17.67,0.82,6,8.0,0.0,2442.72,146.03,14656.33
17,333.48,2.73,25,1.0,0.0,235.9,121.56,5897.53
18,165.29,0.76,7,2.0,0.0,424.97,127.33,2974.82
19,8.8,1.48,5,6.0,0.0,1916.97,106.97,9584.86
20,160.31,3.6,29,1.0,0.0,213.75,123.69,6198.81
21,225.88,1.8,17,1.0,0.0,290.2,125.77,4933.46
22,239.0,0.58,7,2.0,0.0,397.11,117.88,2779.8
23,108.8,1.3,5,3.0,0.0,456.81,48.61,2284.03
24,115.75,3.45,24,1.0,0.0,239.66,141.42,5751.96
25,134.93,5.72,54,1.0,0.0,266.62,159.04,14397.42
26,59.0,1.0,7,4.0,0.0,1191.13,200.49,8337.93
27,106.5,0.89,16,1.0,0.0,273.25,203.01,4372.06
28,134.0,0.71,5,2.0,0.0,507.03,106.37,2535.16
29,17.07,1.92,28,5.0,0.0,1432.62,347.68,40113.22
30,3.0,0.58,7,7.0,0.0,1386.16,126.45,9703.1
31,296.5,1.56,14,1.0,0.0,188.15,134.48,2634.15
32,48.22,3.2,23,3.0,0.0,623.43,157.33,14338.97
33,213.4,1.34,5,2.0,0.0,382.12,111.14,1910.59
34,3.45,2.23,31,5.0,0.0,1280.22,338.17,39686.94
35,5.83,1.33,6,5.0,0.0,2432.79,92.84,14596.73
36,74.63,2.47,27,2.0,0.0,419.76,158.35,11333.59
37,2.6,1.34,5,7.0,0.0,2149.95,132.13,10749.74
38,15.4,1.14,5,4.0,0.0,1563.02,90.06,7815.09
39,9.2,1.48,5,6.0,0.0,1064.99,96.24,5324.94
40,39.5,0.84,6,4.0,0.0,666.08,69.2,3996.51
41,32.45,2.34,11,4.0,0.0,1046.17,166.68,11507.85
42,17.78,1.09,9,6.0,0.0,1893.88,143.77,17044.89
43,3.0,1.15,7,10.0,0.0,2020.96,121.24,14146.74
44,72.22,1.2,9,3.0,0.0,570.13,113.36,5131.19
45,72.33,1.63,6,4.0,0.0,854.14,106.09,5124.82
46,205.33,1.03,6,2.0,0.0,452.83,142.21,2716.99
47,64.6,1.14,5,3.0,0.0,1180.23,79.59,5901.13
48,149.44,1.81,9,1.0,0.0,238.68,86.87,2148.11
49,218.4,1.67,5,2.0,0.0,274.95,57.21,1374.76
50,29.5,1.22,6,3.0,0.0,1432.56,181.75,8595.34
51,109.2,1.48,5,2.0,0.0,621.21,84.08,3106.05
52,79.5,1.85,8,3.0,0.0,526.3,140.55,4210.38
53,3.0,0.89,6,6.0,0.0,2389.18,136.78,14335.09
54,52.67,1.03,6,1.0,0.0,1012.06,113.13,6072.34
55,3.0,1.22,5,4.0,0.0,1823.98,34.0,9119.9
56,99.33,1.37,6,3.0,0.0,1165.59,89.62,6993.53
57,9.38,1.19,8,6.0,0.0,2366.01,193.23,18928.08
58,174.5,0.84,6,2.0,0.0,359.35,131.41,2156.08
59,149.43,1.51,7,2.0,0.0,601.39,119.16,4209.73
60,76.6,1.34,5,3.0,0.0,1088.21,126.09,5441.04
61,169.8,0.92,10,2.0,0.0,582.25,221.15,5822.48
62,15.4,0.89,5,7.0,0.0,1105.85,117.55,5529.26
63,23.4,1.14,5,6.0,0.0,1298.57,114.48,6492.86
64,10.17,0.98,6,5.0,0.0,1543.66,133.12,9261.98
65,29.8,0.84,5,10.0,0.0,2752.8,117.4,13764.0
66,79.33,1.51,6,4.0,0.0,1352.09,111.66,8112.54
67,186.33,1.58,9,2.0,0.0,211.28,84.9,1901.5
68,59.4,0.89,5,3.0,0.0,709.28,125.07,3546.42
69,29.6,1.34,5,7.0,0.0,1569.0,93.62,7844.98
70,11.4,1.52,5,7.0,0.0,1333.05,125.86,6665.25
71,23.0,0.71,5,5.0,0.0,934.59,122.22,4672.94
72,28.2,1.3,5,5.0,0.0,1387.17,33.84,6935.86
73,107.4,1.14,5,2.0,0.0,267.83,132.6,1339.15
